strain,phage,interaction
ERS739095,K1PH164C1,1
sampleK3,K1PH164C1,0
sampleK4,K1PH164C1,0
ERS812516,K1PH164C1,0
ERS739094,K1PH164C1,0
ERS706552,K1PH164C1,0
ERS523587,K1PH164C1,0
ERS747603,K1PH164C1,0
ERS706553,K1PH164C1,0
ERS659571,K1PH164C1,0
ERS706554,K1PH164C1,0
ERS706555,K1PH164C1,0
ERS743101,K1PH164C1,0
ERS799795,K1PH164C1,0
ERS799796,K1PH164C1,0
ERS764450,K1PH164C1,0
ERS764451,K1PH164C1,0
ERS686707,K1PH164C1,0
ERS523588,K1PH164C1,0
ERS715468,K1PH164C1,0
ERS747612,K1PH164C1,0
ERS685293,K1PH164C1,0
ERS799797,K1PH164C1,0
ERS702127,K1PH164C1,0
ERS715399,K1PH164C1,0
ERS701896,K1PH164C1,0
ERS736962,K1PH164C1,0
ERS686708,K1PH164C1,0
ERS715409,K1PH164C1,0
ERS686709,K1PH164C1,0
ERS764452,K1PH164C1,0
ERS799798,K1PH164C1,0
ERS715410,K1PH164C1,0
ERS686710,K1PH164C1,0
ERS686711,K1PH164C1,0
ERS685294,K1PH164C1,0
ERS747611,K1PH164C1,0
ERS744787,K1PH164C1,0
ERS702128,K1PH164C1,0
ERS715469,K1PH164C1,0
ERS715470,K1PH164C1,0
ERS715471,K1PH164C1,0
ERS706556,K1PH164C1,0
ERS718583,K1PH164C1,0
ERS715400,K1PH164C1,0
ERS702129,K1PH164C1,0
ERS523589,K1PH164C1,0
ERS715401,K1PH164C1,0
ERS715472,K1PH164C1,0
ERS702130,K1PH164C1,0
ERS685295,K1PH164C1,0
ERS718584,K1PH164C1,0
ERS702131,K1PH164C1,0
ERS686706,K1PH164C1,0
ERS702132,K1PH164C1,0
ERS702133,K1PH164C1,0
ERS715473,K1PH164C1,0
ERS659577,K1PH164C1,0
ERS659578,K1PH164C1,0
ERS659579,K1PH164C1,0
ERS659580,K1PH164C1,0
ERS659581,K1PH164C1,0
ERS739095,K2PH164C1,0
sampleK3,K2PH164C1,1
sampleK4,K2PH164C1,0
ERS812516,K2PH164C1,0
ERS739094,K2PH164C1,0
ERS706552,K2PH164C1,0
ERS523587,K2PH164C1,0
ERS747603,K2PH164C1,0
ERS706553,K2PH164C1,0
ERS659571,K2PH164C1,0
ERS706554,K2PH164C1,0
ERS706555,K2PH164C1,0
ERS743101,K2PH164C1,0
ERS799795,K2PH164C1,0
ERS799796,K2PH164C1,0
ERS764450,K2PH164C1,0
ERS764451,K2PH164C1,0
ERS686707,K2PH164C1,0
ERS523588,K2PH164C1,0
ERS715468,K2PH164C1,0
ERS747612,K2PH164C1,0
ERS685293,K2PH164C1,0
ERS799797,K2PH164C1,0
ERS702127,K2PH164C1,0
ERS715399,K2PH164C1,0
ERS701896,K2PH164C1,0
ERS736962,K2PH164C1,0
ERS686708,K2PH164C1,0
ERS715409,K2PH164C1,0
ERS686709,K2PH164C1,0
ERS764452,K2PH164C1,0
ERS799798,K2PH164C1,0
ERS715410,K2PH164C1,0
ERS686710,K2PH164C1,0
ERS686711,K2PH164C1,0
ERS685294,K2PH164C1,0
ERS747611,K2PH164C1,0
ERS744787,K2PH164C1,0
ERS702128,K2PH164C1,0
ERS715469,K2PH164C1,0
ERS715470,K2PH164C1,0
ERS715471,K2PH164C1,0
ERS706556,K2PH164C1,0
ERS718583,K2PH164C1,0
ERS715400,K2PH164C1,0
ERS702129,K2PH164C1,0
ERS523589,K2PH164C1,0
ERS715401,K2PH164C1,0
ERS715472,K2PH164C1,0
ERS702130,K2PH164C1,0
ERS685295,K2PH164C1,0
ERS718584,K2PH164C1,0
ERS702131,K2PH164C1,0
ERS686706,K2PH164C1,0
ERS702132,K2PH164C1,0
ERS702133,K2PH164C1,0
ERS715473,K2PH164C1,0
ERS659577,K2PH164C1,0
ERS659578,K2PH164C1,0
ERS659579,K2PH164C1,0
ERS659580,K2PH164C1,0
ERS659581,K2PH164C1,0
ERS739095,K2PH164C2,0
sampleK3,K2PH164C2,1
sampleK4,K2PH164C2,0
ERS812516,K2PH164C2,0
ERS739094,K2PH164C2,0
ERS706552,K2PH164C2,0
ERS523587,K2PH164C2,0
ERS747603,K2PH164C2,0
ERS706553,K2PH164C2,0
ERS659571,K2PH164C2,0
ERS706554,K2PH164C2,0
ERS706555,K2PH164C2,1
ERS743101,K2PH164C2,0
ERS799795,K2PH164C2,0
ERS799796,K2PH164C2,0
ERS764450,K2PH164C2,0
ERS764451,K2PH164C2,0
ERS686707,K2PH164C2,0
ERS523588,K2PH164C2,0
ERS715468,K2PH164C2,0
ERS747612,K2PH164C2,0
ERS685293,K2PH164C2,0
ERS799797,K2PH164C2,0
ERS702127,K2PH164C2,0
ERS715399,K2PH164C2,0
ERS701896,K2PH164C2,0
ERS736962,K2PH164C2,0
ERS686708,K2PH164C2,0
ERS715409,K2PH164C2,0
ERS686709,K2PH164C2,0
ERS764452,K2PH164C2,0
ERS799798,K2PH164C2,0
ERS715410,K2PH164C2,0
ERS686710,K2PH164C2,0
ERS686711,K2PH164C2,0
ERS685294,K2PH164C2,0
ERS747611,K2PH164C2,0
ERS744787,K2PH164C2,0
ERS702128,K2PH164C2,0
ERS715469,K2PH164C2,0
ERS715470,K2PH164C2,0
ERS715471,K2PH164C2,0
ERS706556,K2PH164C2,0
ERS718583,K2PH164C2,0
ERS715400,K2PH164C2,0
ERS702129,K2PH164C2,0
ERS523589,K2PH164C2,0
ERS715401,K2PH164C2,0
ERS715472,K2PH164C2,0
ERS702130,K2PH164C2,0
ERS685295,K2PH164C2,0
ERS718584,K2PH164C2,0
ERS702131,K2PH164C2,0
ERS686706,K2PH164C2,0
ERS702132,K2PH164C2,0
ERS702133,K2PH164C2,0
ERS715473,K2PH164C2,0
ERS659577,K2PH164C2,0
ERS659578,K2PH164C2,0
ERS659579,K2PH164C2,0
ERS659580,K2PH164C2,0
ERS659581,K2PH164C2,0
ERS739095,K2alfa62,0
sampleK3,K2alfa62,1
sampleK4,K2alfa62,0
ERS812516,K2alfa62,0
ERS739094,K2alfa62,0
ERS706552,K2alfa62,0
ERS523587,K2alfa62,0
ERS747603,K2alfa62,0
ERS706553,K2alfa62,0
ERS659571,K2alfa62,0
ERS706554,K2alfa62,0
ERS706555,K2alfa62,1
ERS743101,K2alfa62,0
ERS799795,K2alfa62,0
ERS799796,K2alfa62,0
ERS764450,K2alfa62,0
ERS764451,K2alfa62,0
ERS686707,K2alfa62,0
ERS523588,K2alfa62,0
ERS715468,K2alfa62,0
ERS747612,K2alfa62,0
ERS685293,K2alfa62,0
ERS799797,K2alfa62,0
ERS702127,K2alfa62,0
ERS715399,K2alfa62,0
ERS701896,K2alfa62,0
ERS736962,K2alfa62,0
ERS686708,K2alfa62,0
ERS715409,K2alfa62,0
ERS686709,K2alfa62,0
ERS764452,K2alfa62,0
ERS799798,K2alfa62,0
ERS715410,K2alfa62,0
ERS686710,K2alfa62,0
ERS686711,K2alfa62,0
ERS685294,K2alfa62,0
ERS747611,K2alfa62,0
ERS744787,K2alfa62,0
ERS702128,K2alfa62,0
ERS715469,K2alfa62,0
ERS715470,K2alfa62,0
ERS715471,K2alfa62,0
ERS706556,K2alfa62,0
ERS718583,K2alfa62,0
ERS715400,K2alfa62,0
ERS702129,K2alfa62,0
ERS523589,K2alfa62,0
ERS715401,K2alfa62,0
ERS715472,K2alfa62,0
ERS702130,K2alfa62,0
ERS685295,K2alfa62,0
ERS718584,K2alfa62,0
ERS702131,K2alfa62,0
ERS686706,K2alfa62,0
ERS702132,K2alfa62,0
ERS702133,K2alfa62,0
ERS715473,K2alfa62,0
ERS659577,K2alfa62,0
ERS659578,K2alfa62,0
ERS659579,K2alfa62,0
ERS659580,K2alfa62,0
ERS659581,K2alfa62,0
ERS739095,K6PH25C3,0
sampleK3,K6PH25C3,0
sampleK4,K6PH25C3,0
ERS812516,K6PH25C3,0
ERS739094,K6PH25C3,1
ERS706552,K6PH25C3,1
ERS523587,K6PH25C3,0
ERS747603,K6PH25C3,0
ERS706553,K6PH25C3,0
ERS659571,K6PH25C3,0
ERS706554,K6PH25C3,0
ERS706555,K6PH25C3,0
ERS743101,K6PH25C3,0
ERS799795,K6PH25C3,0
ERS799796,K6PH25C3,0
ERS764450,K6PH25C3,0
ERS764451,K6PH25C3,0
ERS686707,K6PH25C3,0
ERS523588,K6PH25C3,0
ERS715468,K6PH25C3,0
ERS747612,K6PH25C3,0
ERS685293,K6PH25C3,0
ERS799797,K6PH25C3,0
ERS702127,K6PH25C3,0
ERS715399,K6PH25C3,0
ERS701896,K6PH25C3,0
ERS736962,K6PH25C3,0
ERS686708,K6PH25C3,0
ERS715409,K6PH25C3,0
ERS686709,K6PH25C3,0
ERS764452,K6PH25C3,0
ERS799798,K6PH25C3,0
ERS715410,K6PH25C3,0
ERS686710,K6PH25C3,0
ERS686711,K6PH25C3,0
ERS685294,K6PH25C3,0
ERS747611,K6PH25C3,0
ERS744787,K6PH25C3,0
ERS702128,K6PH25C3,0
ERS715469,K6PH25C3,0
ERS715470,K6PH25C3,0
ERS715471,K6PH25C3,0
ERS706556,K6PH25C3,0
ERS718583,K6PH25C3,0
ERS715400,K6PH25C3,0
ERS702129,K6PH25C3,0
ERS523589,K6PH25C3,0
ERS715401,K6PH25C3,0
ERS715472,K6PH25C3,0
ERS702130,K6PH25C3,0
ERS685295,K6PH25C3,0
ERS718584,K6PH25C3,0
ERS702131,K6PH25C3,0
ERS686706,K6PH25C3,0
ERS702132,K6PH25C3,0
ERS702133,K6PH25C3,0
ERS715473,K6PH25C3,0
ERS659577,K6PH25C3,0
ERS659578,K6PH25C3,0
ERS659579,K6PH25C3,0
ERS659580,K6PH25C3,0
ERS659581,K6PH25C3,0
ERS739095,K7PH164C4,0
sampleK3,K7PH164C4,0
sampleK4,K7PH164C4,0
ERS812516,K7PH164C4,0
ERS739094,K7PH164C4,0
ERS706552,K7PH164C4,1
ERS523587,K7PH164C4,0
ERS747603,K7PH164C4,0
ERS706553,K7PH164C4,0
ERS659571,K7PH164C4,1
ERS706554,K7PH164C4,0
ERS706555,K7PH164C4,1
ERS743101,K7PH164C4,1
ERS799795,K7PH164C4,0
ERS799796,K7PH164C4,0
ERS764450,K7PH164C4,0
ERS764451,K7PH164C4,0
ERS686707,K7PH164C4,0
ERS523588,K7PH164C4,0
ERS715468,K7PH164C4,0
ERS747612,K7PH164C4,0
ERS685293,K7PH164C4,0
ERS799797,K7PH164C4,1
ERS702127,K7PH164C4,1
ERS715399,K7PH164C4,1
ERS701896,K7PH164C4,1
ERS736962,K7PH164C4,0
ERS686708,K7PH164C4,0
ERS715409,K7PH164C4,0
ERS686709,K7PH164C4,1
ERS764452,K7PH164C4,1
ERS799798,K7PH164C4,0
ERS715410,K7PH164C4,0
ERS686710,K7PH164C4,1
ERS686711,K7PH164C4,0
ERS685294,K7PH164C4,0
ERS747611,K7PH164C4,0
ERS744787,K7PH164C4,0
ERS702128,K7PH164C4,1
ERS715469,K7PH164C4,1
ERS715470,K7PH164C4,0
ERS715471,K7PH164C4,0
ERS706556,K7PH164C4,0
ERS718583,K7PH164C4,1
ERS715400,K7PH164C4,0
ERS702129,K7PH164C4,1
ERS523589,K7PH164C4,1
ERS715401,K7PH164C4,0
ERS715472,K7PH164C4,0
ERS702130,K7PH164C4,1
ERS685295,K7PH164C4,0
ERS718584,K7PH164C4,0
ERS702131,K7PH164C4,0
ERS686706,K7PH164C4,1
ERS702132,K7PH164C4,1
ERS702133,K7PH164C4,0
ERS715473,K7PH164C4,1
ERS659577,K7PH164C4,0
ERS659578,K7PH164C4,0
ERS659579,K7PH164C4,0
ERS659580,K7PH164C4,0
ERS659581,K7PH164C4,0
ERS739095,K8PH128,1
sampleK3,K8PH128,0
sampleK4,K8PH128,0
ERS812516,K8PH128,0
ERS739094,K8PH128,0
ERS706552,K8PH128,0
ERS523587,K8PH128,1
ERS747603,K8PH128,0
ERS706553,K8PH128,0
ERS659571,K8PH128,0
ERS706554,K8PH128,0
ERS706555,K8PH128,0
ERS743101,K8PH128,0
ERS799795,K8PH128,0
ERS799796,K8PH128,0
ERS764450,K8PH128,0
ERS764451,K8PH128,0
ERS686707,K8PH128,0
ERS523588,K8PH128,0
ERS715468,K8PH128,0
ERS747612,K8PH128,0
ERS685293,K8PH128,0
ERS799797,K8PH128,0
ERS702127,K8PH128,0
ERS715399,K8PH128,0
ERS701896,K8PH128,0
ERS736962,K8PH128,0
ERS686708,K8PH128,0
ERS715409,K8PH128,0
ERS686709,K8PH128,0
ERS764452,K8PH128,0
ERS799798,K8PH128,0
ERS715410,K8PH128,0
ERS686710,K8PH128,0
ERS686711,K8PH128,0
ERS685294,K8PH128,0
ERS747611,K8PH128,0
ERS744787,K8PH128,0
ERS702128,K8PH128,0
ERS715469,K8PH128,0
ERS715470,K8PH128,0
ERS715471,K8PH128,0
ERS706556,K8PH128,0
ERS718583,K8PH128,0
ERS715400,K8PH128,0
ERS702129,K8PH128,0
ERS523589,K8PH128,0
ERS715401,K8PH128,0
ERS715472,K8PH128,0
ERS702130,K8PH128,0
ERS685295,K8PH128,0
ERS718584,K8PH128,0
ERS702131,K8PH128,0
ERS686706,K8PH128,0
ERS702132,K8PH128,0
ERS702133,K8PH128,0
ERS715473,K8PH128,0
ERS659577,K8PH128,0
ERS659578,K8PH128,0
ERS659579,K8PH128,0
ERS659580,K8PH128,0
ERS659581,K8PH128,0
ERS739095,K9PH25C2,0
sampleK3,K9PH25C2,0
sampleK4,K9PH25C2,0
ERS812516,K9PH25C2,0
ERS739094,K9PH25C2,0
ERS706552,K9PH25C2,0
ERS523587,K9PH25C2,0
ERS747603,K9PH25C2,1
ERS706553,K9PH25C2,0
ERS659571,K9PH25C2,0
ERS706554,K9PH25C2,0
ERS706555,K9PH25C2,0
ERS743101,K9PH25C2,0
ERS799795,K9PH25C2,0
ERS799796,K9PH25C2,0
ERS764450,K9PH25C2,0
ERS764451,K9PH25C2,0
ERS686707,K9PH25C2,0
ERS523588,K9PH25C2,0
ERS715468,K9PH25C2,0
ERS747612,K9PH25C2,0
ERS685293,K9PH25C2,0
ERS799797,K9PH25C2,0
ERS702127,K9PH25C2,0
ERS715399,K9PH25C2,0
ERS701896,K9PH25C2,0
ERS736962,K9PH25C2,0
ERS686708,K9PH25C2,0
ERS715409,K9PH25C2,0
ERS686709,K9PH25C2,0
ERS764452,K9PH25C2,0
ERS799798,K9PH25C2,0
ERS715410,K9PH25C2,0
ERS686710,K9PH25C2,0
ERS686711,K9PH25C2,0
ERS685294,K9PH25C2,0
ERS747611,K9PH25C2,0
ERS744787,K9PH25C2,0
ERS702128,K9PH25C2,0
ERS715469,K9PH25C2,0
ERS715470,K9PH25C2,0
ERS715471,K9PH25C2,0
ERS706556,K9PH25C2,0
ERS718583,K9PH25C2,0
ERS715400,K9PH25C2,0
ERS702129,K9PH25C2,0
ERS523589,K9PH25C2,0
ERS715401,K9PH25C2,0
ERS715472,K9PH25C2,0
ERS702130,K9PH25C2,0
ERS685295,K9PH25C2,0
ERS718584,K9PH25C2,0
ERS702131,K9PH25C2,0
ERS686706,K9PH25C2,0
ERS702132,K9PH25C2,0
ERS702133,K9PH25C2,0
ERS715473,K9PH25C2,0
ERS659577,K9PH25C2,0
ERS659578,K9PH25C2,0
ERS659579,K9PH25C2,0
ERS659580,K9PH25C2,0
ERS659581,K9PH25C2,0
ERS739095,K10PH82C1,0
sampleK3,K10PH82C1,0
sampleK4,K10PH82C1,0
ERS812516,K10PH82C1,0
ERS739094,K10PH82C1,0
ERS706552,K10PH82C1,0
ERS523587,K10PH82C1,0
ERS747603,K10PH82C1,0
ERS706553,K10PH82C1,1
ERS659571,K10PH82C1,0
ERS706554,K10PH82C1,0
ERS706555,K10PH82C1,0
ERS743101,K10PH82C1,0
ERS799795,K10PH82C1,0
ERS799796,K10PH82C1,0
ERS764450,K10PH82C1,0
ERS764451,K10PH82C1,0
ERS686707,K10PH82C1,0
ERS523588,K10PH82C1,0
ERS715468,K10PH82C1,0
ERS747612,K10PH82C1,0
ERS685293,K10PH82C1,0
ERS799797,K10PH82C1,0
ERS702127,K10PH82C1,0
ERS715399,K10PH82C1,0
ERS701896,K10PH82C1,0
ERS736962,K10PH82C1,0
ERS686708,K10PH82C1,0
ERS715409,K10PH82C1,0
ERS686709,K10PH82C1,0
ERS764452,K10PH82C1,0
ERS799798,K10PH82C1,0
ERS715410,K10PH82C1,0
ERS686710,K10PH82C1,0
ERS686711,K10PH82C1,0
ERS685294,K10PH82C1,0
ERS747611,K10PH82C1,0
ERS744787,K10PH82C1,0
ERS702128,K10PH82C1,0
ERS715469,K10PH82C1,0
ERS715470,K10PH82C1,0
ERS715471,K10PH82C1,0
ERS706556,K10PH82C1,0
ERS718583,K10PH82C1,0
ERS715400,K10PH82C1,0
ERS702129,K10PH82C1,0
ERS523589,K10PH82C1,0
ERS715401,K10PH82C1,0
ERS715472,K10PH82C1,0
ERS702130,K10PH82C1,0
ERS685295,K10PH82C1,0
ERS718584,K10PH82C1,0
ERS702131,K10PH82C1,0
ERS686706,K10PH82C1,0
ERS702132,K10PH82C1,0
ERS702133,K10PH82C1,0
ERS715473,K10PH82C1,0
ERS659577,K10PH82C1,0
ERS659578,K10PH82C1,0
ERS659579,K10PH82C1,0
ERS659580,K10PH82C1,0
ERS659581,K10PH82C1,0
ERS739095,K11PH164C1,0
sampleK3,K11PH164C1,0
sampleK4,K11PH164C1,0
ERS812516,K11PH164C1,0
ERS739094,K11PH164C1,0
ERS706552,K11PH164C1,0
ERS523587,K11PH164C1,0
ERS747603,K11PH164C1,0
ERS706553,K11PH164C1,0
ERS659571,K11PH164C1,1
ERS706554,K11PH164C1,0
ERS706555,K11PH164C1,0
ERS743101,K11PH164C1,0
ERS799795,K11PH164C1,0
ERS799796,K11PH164C1,0
ERS764450,K11PH164C1,0
ERS764451,K11PH164C1,0
ERS686707,K11PH164C1,0
ERS523588,K11PH164C1,0
ERS715468,K11PH164C1,0
ERS747612,K11PH164C1,0
ERS685293,K11PH164C1,0
ERS799797,K11PH164C1,0
ERS702127,K11PH164C1,0
ERS715399,K11PH164C1,0
ERS701896,K11PH164C1,0
ERS736962,K11PH164C1,0
ERS686708,K11PH164C1,0
ERS715409,K11PH164C1,0
ERS686709,K11PH164C1,0
ERS764452,K11PH164C1,0
ERS799798,K11PH164C1,0
ERS715410,K11PH164C1,0
ERS686710,K11PH164C1,0
ERS686711,K11PH164C1,0
ERS685294,K11PH164C1,0
ERS747611,K11PH164C1,0
ERS744787,K11PH164C1,0
ERS702128,K11PH164C1,0
ERS715469,K11PH164C1,0
ERS715470,K11PH164C1,0
ERS715471,K11PH164C1,0
ERS706556,K11PH164C1,0
ERS718583,K11PH164C1,0
ERS715400,K11PH164C1,0
ERS702129,K11PH164C1,0
ERS523589,K11PH164C1,1
ERS715401,K11PH164C1,0
ERS715472,K11PH164C1,0
ERS702130,K11PH164C1,0
ERS685295,K11PH164C1,0
ERS718584,K11PH164C1,0
ERS702131,K11PH164C1,0
ERS686706,K11PH164C1,0
ERS702132,K11PH164C1,0
ERS702133,K11PH164C1,0
ERS715473,K11PH164C1,0
ERS659577,K11PH164C1,0
ERS659578,K11PH164C1,0
ERS659579,K11PH164C1,0
ERS659580,K11PH164C1,0
ERS659581,K11PH164C1,0
ERS739095,K12P1_1,0
sampleK3,K12P1_1,0
sampleK4,K12P1_1,0
ERS812516,K12P1_1,0
ERS739094,K12P1_1,0
ERS706552,K12P1_1,0
ERS523587,K12P1_1,0
ERS747603,K12P1_1,0
ERS706553,K12P1_1,0
ERS659571,K12P1_1,0
ERS706554,K12P1_1,1
ERS706555,K12P1_1,0
ERS743101,K12P1_1,0
ERS799795,K12P1_1,0
ERS799796,K12P1_1,0
ERS764450,K12P1_1,0
ERS764451,K12P1_1,0
ERS686707,K12P1_1,0
ERS523588,K12P1_1,0
ERS715468,K12P1_1,0
ERS747612,K12P1_1,0
ERS685293,K12P1_1,0
ERS799797,K12P1_1,0
ERS702127,K12P1_1,0
ERS715399,K12P1_1,0
ERS701896,K12P1_1,0
ERS736962,K12P1_1,0
ERS686708,K12P1_1,0
ERS715409,K12P1_1,0
ERS686709,K12P1_1,0
ERS764452,K12P1_1,0
ERS799798,K12P1_1,0
ERS715410,K12P1_1,0
ERS686710,K12P1_1,0
ERS686711,K12P1_1,0
ERS685294,K12P1_1,0
ERS747611,K12P1_1,0
ERS744787,K12P1_1,0
ERS702128,K12P1_1,0
ERS715469,K12P1_1,0
ERS715470,K12P1_1,0
ERS715471,K12P1_1,0
ERS706556,K12P1_1,0
ERS718583,K12P1_1,0
ERS715400,K12P1_1,0
ERS702129,K12P1_1,0
ERS523589,K12P1_1,0
ERS715401,K12P1_1,0
ERS715472,K12P1_1,0
ERS702130,K12P1_1,0
ERS685295,K12P1_1,0
ERS718584,K12P1_1,0
ERS702131,K12P1_1,0
ERS686706,K12P1_1,0
ERS702132,K12P1_1,0
ERS702133,K12P1_1,0
ERS715473,K12P1_1,0
ERS659577,K12P1_1,0
ERS659578,K12P1_1,0
ERS659579,K12P1_1,0
ERS659580,K12P1_1,0
ERS659581,K12P1_1,0
ERS739095,K13PH07C1L,0
sampleK3,K13PH07C1L,0
sampleK4,K13PH07C1L,0
ERS812516,K13PH07C1L,0
ERS739094,K13PH07C1L,0
ERS706552,K13PH07C1L,0
ERS523587,K13PH07C1L,0
ERS747603,K13PH07C1L,0
ERS706553,K13PH07C1L,0
ERS659571,K13PH07C1L,0
ERS706554,K13PH07C1L,0
ERS706555,K13PH07C1L,1
ERS743101,K13PH07C1L,0
ERS799795,K13PH07C1L,0
ERS799796,K13PH07C1L,0
ERS764450,K13PH07C1L,0
ERS764451,K13PH07C1L,0
ERS686707,K13PH07C1L,0
ERS523588,K13PH07C1L,0
ERS715468,K13PH07C1L,0
ERS747612,K13PH07C1L,0
ERS685293,K13PH07C1L,0
ERS799797,K13PH07C1L,0
ERS702127,K13PH07C1L,0
ERS715399,K13PH07C1L,0
ERS701896,K13PH07C1L,0
ERS736962,K13PH07C1L,0
ERS686708,K13PH07C1L,0
ERS715409,K13PH07C1L,0
ERS686709,K13PH07C1L,0
ERS764452,K13PH07C1L,0
ERS799798,K13PH07C1L,0
ERS715410,K13PH07C1L,0
ERS686710,K13PH07C1L,0
ERS686711,K13PH07C1L,0
ERS685294,K13PH07C1L,0
ERS747611,K13PH07C1L,0
ERS744787,K13PH07C1L,0
ERS702128,K13PH07C1L,0
ERS715469,K13PH07C1L,0
ERS715470,K13PH07C1L,0
ERS715471,K13PH07C1L,0
ERS706556,K13PH07C1L,0
ERS718583,K13PH07C1L,0
ERS715400,K13PH07C1L,0
ERS702129,K13PH07C1L,0
ERS523589,K13PH07C1L,0
ERS715401,K13PH07C1L,0
ERS715472,K13PH07C1L,0
ERS702130,K13PH07C1L,0
ERS685295,K13PH07C1L,0
ERS718584,K13PH07C1L,0
ERS702131,K13PH07C1L,0
ERS686706,K13PH07C1L,0
ERS702132,K13PH07C1L,0
ERS702133,K13PH07C1L,0
ERS715473,K13PH07C1L,0
ERS659577,K13PH07C1L,0
ERS659578,K13PH07C1L,0
ERS659579,K13PH07C1L,0
ERS659580,K13PH07C1L,0
ERS659581,K13PH07C1L,0
ERS739095,K13PH07C1S,0
sampleK3,K13PH07C1S,0
sampleK4,K13PH07C1S,0
ERS812516,K13PH07C1S,0
ERS739094,K13PH07C1S,0
ERS706552,K13PH07C1S,0
ERS523587,K13PH07C1S,0
ERS747603,K13PH07C1S,0
